Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
HDR,65.29832936,34.70167064,2179,2179,2095,1368,727,0,20,1,707,20,0,706,0,0,1,0,sg_67
Reference,48.40425532,51.59574468,1843,1837,188,91,97,0,6,2,91,6,0,89,0,0,2,0,sg_68
HDR,0.06222775,99.93777225,1843,1837,1607,1,1606,0,7,1,1606,0,0,1598,0,7,1,0,sg_68
Reference,84.91620112,15.08379888,1202,1175,537,456,81,0,15,2,79,0,2,64,0,15,0,0,sg_69
HDR,24.51923077,75.48076923,1202,1175,624,153,471,0,4,3,467,4,0,464,0,0,3,0,sg_69
Reference,87.09677419,12.90322581,2221,2221,248,216,32,0,3,13,16,3,13,16,0,0,0,0,sg_70
HDR,96.01634321,3.98365679,2221,2221,1958,1880,78,0,0,8,71,0,7,70,0,0,1,0,sg_70
Reference,55.45023697,44.54976303,1770,1762,211,117,94,0,14,14,83,0,0,80,11,0,0,3,sg_71
HDR,0.91264668,99.08735332,1770,1762,1534,14,1520,0,3,2,1520,0,0,1515,0,3,2,0,sg_71
Reference,5.88235294,94.11764706,739,739,17,1,16,0,0,1,15,0,1,15,0,0,0,0,sg_72
HDR,33.24099723,66.75900277,739,739,722,240,482,0,0,1,481,0,1,481,0,0,0,0,sg_72
Reference,36.36363636,63.63636364,457,443,66,24,42,0,0,16,42,0,0,26,0,0,16,0,sg_73
HDR,21.50537634,78.49462366,457,443,372,80,292,0,0,0,292,0,0,292,0,0,0,0,sg_73
Reference,10.2425876,89.7574124,1079,1079,742,76,666,0,3,7,663,0,0,659,3,0,4,0,sg_74
HDR,8.33333333,91.66666667,1079,1079,336,28,308,0,6,11,302,0,0,297,6,0,5,0,sg_74
Reference,34.21052632,65.78947368,1594,1594,76,26,50,0,43,13,12,25,0,7,13,5,0,0,sg_75
HDR,6.84931507,93.15068493,1594,1594,1460,100,1360,0,14,13,1349,0,0,1344,11,3,2,0,sg_75
Reference,71.42857143,28.57142857,1065,1064,42,30,12,0,6,11,8,0,0,1,4,0,5,2,sg_76
HDR,14.94023904,85.05976096,1065,1064,1004,150,854,0,14,8,852,2,0,839,0,5,1,7,sg_76
Reference,48.14814815,51.85185185,1751,1720,135,65,70,0,0,7,64,0,6,63,0,0,1,0,sg_77
HDR,53.15656566,46.84343434,1751,1720,1584,842,742,0,0,2,740,0,2,740,0,0,0,0,sg_77
Reference,49.56672444,50.43327556,997,989,577,286,291,0,12,2,278,12,1,277,0,0,1,0,sg_78
HDR,2.200489,97.799511,997,989,409,9,400,0,1,1,399,0,1,398,0,1,0,0,sg_78
Reference,19.52054795,80.47945205,1690,1689,292,57,235,0,9,19,221,8,6,208,0,0,12,1,sg_79
HDR,2.03193033,97.96806967,1690,1689,1378,28,1350,0,0,23,1350,0,0,1327,0,0,23,0,sg_79
Reference,20.46783626,79.53216374,2568,2564,171,35,136,0,50,30,94,22,14,67,6,17,5,5,sg_80
HDR,0.04237288,99.95762712,2568,2564,2360,1,2359,0,40,35,2348,11,0,2287,0,26,32,3,sg_80
Reference,78.87323944,21.12676056,468,459,71,56,15,0,0,0,15,0,0,15,0,0,0,0,sg_81
